event_id,affected_destination_id,affected_destination,event_type,risk_score_delta,confidence_score,operation_signal
local_signal_ha_long,ha_long,Hạ Long,event_pressure,8,76.5,"tăng Demand Score, tăng shuttle, chia khung giờ, đẩy điểm phụ"
local_signal_cat_ba,cat_ba,Cát Bà,event_pressure,8,76.5,"tăng Demand Score, tăng shuttle, chia khung giờ, đẩy điểm phụ"
local_signal_quy_nhon,quy_nhon,Quy Nhơn,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_da_nang,da_nang,Đà Nẵng,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_mui_ne,mui_ne,Mũi Né,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_sam_son,sam_son,Sầm Sơn,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_hoi_an,hoi_an,Hội An,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_hue,hue,Huế,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_vung_tau,vung_tau,Vũng Tàu,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_cua_lo,cua_lo,Cửa Lò,economic_opportunity,-5,76.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_ninh_binh,ninh_binh,Ninh Bình,economic_opportunity,-5,61.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
local_signal_ly_son,ly_son,Lý Sơn,economic_opportunity,-5,61.5,ưu tiên combo ăn uống/vé/lưu trú nếu hạ tầng đủ
