destination_id,ten_diem_den,metric_name,metric_score,confidence_score,confidence_label,confidence_reason,source_list,last_updated,proxy_validation_error
ha_long,Hạ Long,Điểm áp lực điểm đến,84.73,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
ha_long,Hạ Long,Điểm rủi ro thời tiết,84.1,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
ha_long,Hạ Long,Điểm sẵn sàng hạ tầng,57.9,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
ha_long,Hạ Long,Điểm cơ hội kinh tế,50.88,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
ha_long,Hạ Long,Điểm điều phối khách,61.76,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
cat_ba,Cát Bà,Điểm áp lực điểm đến,70.81,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
cat_ba,Cát Bà,Điểm rủi ro thời tiết,96.38,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
cat_ba,Cát Bà,Điểm sẵn sàng hạ tầng,54.82,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
cat_ba,Cát Bà,Điểm cơ hội kinh tế,49.67,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
cat_ba,Cát Bà,Điểm điều phối khách,35.0,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
quy_nhon,Quy Nhơn,Điểm áp lực điểm đến,65.71,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
quy_nhon,Quy Nhơn,Điểm rủi ro thời tiết,68.32,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
quy_nhon,Quy Nhơn,Điểm sẵn sàng hạ tầng,52.49,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
quy_nhon,Quy Nhơn,Điểm cơ hội kinh tế,47.38,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
quy_nhon,Quy Nhơn,Điểm điều phối khách,35.0,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
da_nang,Đà Nẵng,Điểm áp lực điểm đến,63.06,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
da_nang,Đà Nẵng,Điểm rủi ro thời tiết,49.64,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
da_nang,Đà Nẵng,Điểm sẵn sàng hạ tầng,75.02,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
da_nang,Đà Nẵng,Điểm cơ hội kinh tế,67.11,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
da_nang,Đà Nẵng,Điểm điều phối khách,79.84,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
mui_ne,Mũi Né,Điểm áp lực điểm đến,60.78,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
mui_ne,Mũi Né,Điểm rủi ro thời tiết,49.66,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,20/05/2026 22:18,
