destination_id,ten_diem_den,diem_ap_luc,do_tin_cay,hotel_price_pressure_score,tooltip
ha_long,Hạ Long,84.73,76.5,100.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cat_ba,Cát Bà,70.81,76.5,34.25,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
quy_nhon,Quy Nhơn,65.71,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
da_nang,Đà Nẵng,63.06,76.5,47.81,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
mui_ne,Mũi Né,60.78,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
sam_son,Sầm Sơn,58.85,76.5,46.91,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hoi_an,Hội An,52.25,76.5,29.49,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hue,Huế,51.4,76.5,14.51,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
vung_tau,Vũng Tàu,40.95,76.5,10.18,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cua_lo,Cửa Lò,36.2,76.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ninh_binh,Ninh Bình,48.38,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ly_son,Lý Sơn,47.76,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ha_noi,Hà Nội,45.65,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ha_giang,Hà Giang,43.62,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
phu_quoc,Phú Quốc,37.76,61.5,47.87,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
