event_id,keyword,title,source_url,published_time,affected_destination_id,affected_destination,event_type,risk_score_delta,opportunity_score_delta,data_type,confidence_score,summary_vi
local_signal_ha_long,du lịch Hạ Long,Tín hiệu vận hành tổng hợp cho Hạ Long,local_gold_current,21/05/2026 09:57,ha_long,Hạ Long,event_pressure,8,2,local_signal_from_gold_data,76.5,rủi ro thời tiết cao; proxy giá/lưu trú căng
local_signal_cat_ba,du lịch Cát Bà,Tín hiệu vận hành tổng hợp cho Cát Bà,local_gold_current,21/05/2026 09:57,cat_ba,Cát Bà,event_pressure,8,2,local_signal_from_gold_data,76.5,rủi ro thời tiết cao
local_signal_quy_nhon,du lịch Quy Nhơn,Tín hiệu vận hành tổng hợp cho Quy Nhơn,local_gold_current,21/05/2026 09:57,quy_nhon,Quy Nhơn,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_da_nang,du lịch Đà Nẵng,Tín hiệu vận hành tổng hợp cho Đà Nẵng,local_gold_current,21/05/2026 09:57,da_nang,Đà Nẵng,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_mui_ne,du lịch Mũi Né,Tín hiệu vận hành tổng hợp cho Mũi Né,local_gold_current,21/05/2026 09:57,mui_ne,Mũi Né,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_sam_son,du lịch Sầm Sơn,Tín hiệu vận hành tổng hợp cho Sầm Sơn,local_gold_current,21/05/2026 09:57,sam_son,Sầm Sơn,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,rủi ro thời tiết cao; hạ tầng proxy yếu
local_signal_hoi_an,du lịch Hội An,Tín hiệu vận hành tổng hợp cho Hội An,local_gold_current,21/05/2026 09:57,hoi_an,Hội An,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_hue,du lịch Huế,Tín hiệu vận hành tổng hợp cho Huế,local_gold_current,21/05/2026 09:57,hue,Huế,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_vung_tau,du lịch Vũng Tàu,Tín hiệu vận hành tổng hợp cho Vũng Tàu,local_gold_current,21/05/2026 09:57,vung_tau,Vũng Tàu,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_cua_lo,du lịch Cửa Lò,Tín hiệu vận hành tổng hợp cho Cửa Lò,local_gold_current,21/05/2026 09:57,cua_lo,Cửa Lò,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,hạ tầng proxy yếu
local_signal_ninh_binh,du lịch Ninh Bình,Tín hiệu vận hành tổng hợp cho Ninh Bình,local_gold_current,21/05/2026 09:57,ninh_binh,Ninh Bình,economic_opportunity,-5,6,local_signal_from_gold_data,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định
local_signal_ly_son,du lịch Lý Sơn,Tín hiệu vận hành tổng hợp cho Lý Sơn,local_gold_current,21/05/2026 09:57,ly_son,Lý Sơn,economic_opportunity,-5,6,local_signal_from_gold_data,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định
