record_id,source,property_id,property_name,rating,review_text,reviewer_country,traveler_type,url,source_url,crawl_time,license_note
a9ad541a4c4f004f465c8e560f80ca422a65ee59ebe57d971361dbf416acea18,traveloka,9000001072104,Ha Noi Le Grand Hotel,8.5,"I stayed here for 4 times and will keep staying here for the next times. Staff are super friendly and supportive. Clean room, lift is available and big space for parking. Wi-Fi is good enough for my personal needs.",,,https://www.traveloka.com/hotel/vietnam/ha-noi-le-grand-hotel-9000001072104,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
734257a09eaaf189d59bfec5e57a586f553692ffeda862dd845568656b7deaa6,traveloka,9000006924942,MAY Hotel & Apartment ,8.9,The receptionist named Linh was so friendly and supportive. It was a nice and cozy experience.,,,https://www.traveloka.com/hotel/vietnam/may-hotel--apartment--9000006924942,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
f08dc6ce5c83ed772e6f58daacc76e68a14de0ff536c86d6cc6ccb27318f65b6,traveloka,9000003249593,REY Hotel Hanoi,9.2,"Wonderful! Highly recommended! You should definitely experience REY. The staff are super enthusiastic and lovely, the rooms are beautiful, clean, spacious, and we absolutely loved it. We will definitely come back next time. Thank you REY for giving our family a wonderful vacation.",,,https://www.traveloka.com/hotel/vietnam/rey-hotel-hanoi-9000003249593,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
a643797c3c7b89820018368bd653d14e3c3252ce5973d496cabbaa1257bd5127,traveloka,1000000399730,Classy Boutique Hotel,9.5,"This hotel is highly recommended. The rooms are comfortable, the mattresses are soft, and everything works perfectly. The amenities are complete, including a water heater. The service is excellent, and the staff are friendly and responsive.",,,https://www.traveloka.com/hotel/vietnam/classy-boutique-hotel-1000000399730,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
4d32e07f2e3a6ab5883c9d36ad9e2bf34f87ea228880ecfe1b66f7efacc8b351,traveloka,1000000171688,Melia Hanoi Hotel,8.9,"The hotel is in a very central location, easy to move to attractions, Very clean, from public spaces to rooms. Staff were friendly and enthusiastic.",,,https://www.traveloka.com/hotel/vietnam/melia-hanoi-hotel-1000000171688,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
f499c9ee0806e9ca66ae27e99edd2b625b076adbefddab23898878af34aa2a62,traveloka,9000000924741,Dolce by Wyndham Hanoi Golden Lake,8.9,"I was very pleased with my wonderful experience at the hotel. The service was truly professional and attentive. The facilities were modern and luxurious, creating a relaxing atmosphere. The meals were delicious and varied, leaving a lasting impression. I will definitely return and recommend it to my friends.",,,https://www.traveloka.com/hotel/vietnam/dolce-by-wyndham-hanoi-golden-lake-9000000924741,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
08f2b0ed90b45cb852a47f114bedc82cd6f1688c14ea9b6e0de15f23e9af5a29,traveloka,9000007484559,Nature Hotel - Lac Long Quan,8.9,"Very good hotel, clean, strategic location, helpful staff. Also good breakfast taste & menu",,,https://www.traveloka.com/hotel/vietnam/nature-hotel---lac-long-quan-9000007484559,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
1658cc3fa4702f867ff9fd4101d596550cdeb89370b5d7c7adda9c62e823e780,traveloka,3000010035168,The Bloom Classic - An Excellent Blend of Cozy Living and Urban Relaxation,9.0,"The unit is absolutely stunning. It's a one-bedroom apartment, but it's very spacious and comfortable. The location is far from the Old Quarter, but the neighborhood is quiet and safe. Breakfast is served per person. There's not a wide variety, but the portions and taste are quite good. The restaurant staff are very friendly and helpful.",,,https://www.traveloka.com/hotel/vietnam/the-bloom-classic---an-excellent-blend-of-cozy-living-and-urban-relaxation-3000010035168,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
168ffbc5faac2217c3e1e57c4414f97a46bc6229e68137eff84bf7696e01a425,traveloka,9000007448814,The Haron Hanoi Boutique Hotel,10.0,"Great service, great staff. Very friendly. Outstanding room. Best hotel experience. Thank you, Annie.",,,https://www.traveloka.com/hotel/vietnam/the-haron-hanoi-boutique-hotel-9000007448814,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
f3f01ecb1972fa9b0ec56ef45457044a2c910fb1fa5a0b2cb41b937f814c0302,traveloka,1000000471110,Lotte Hotel Hanoi,9.3,"Everything was absolutely fantastic. Impeccable cleanliness, lots of useful amenities, a beautiful room design, and amazing city views at night.",,,https://www.traveloka.com/hotel/vietnam/lotte-hotel-hanoi-1000000471110,https://www.traveloka.com/en-en/hotel/vietnam/region/hanoi-10009843?viewType=list,2026-05-17T17:42:29.951017+00:00,Previously collected public Traveloka reviews; reviewer names excluded from silver/gold.
