province,province_code,district_code,month,temperature_2m_avg,relative_humidity_2m_avg,precipitation_sum,rain_sum,wind_speed_10m_avg,observations,source,source_url,crawl_time,license_note
An Giang,89,,2021-05,28.32244623655914,81.70167414247312,160.4,160.4,7.9045563579032265,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-06,28.01,82.37439614583333,122.4,122.4,11.531224158472222,720,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-07,27.564986559139783,83.10199796505377,260.1,260.1,11.777514287728495,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-08,27.40073924731183,83.54975286290322,312.5,312.5,10.56773272876344,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-09,26.770277777777775,86.47895889444445,328.6,328.6,8.827348983138888,720,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-10,26.78864247311828,85.71446664919355,363.9,363.9,8.303502739260752,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-11,26.174583333333334,85.75968786805555,333.4,333.4,8.189612493986111,720,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2021-12,25.771505376344088,74.30919293951612,82.4,82.4,9.40239550935484,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-01,26.803629032258065,71.81741331854838,31.8,31.8,6.933407874758064,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-02,27.93854166666667,67.88618260565477,34.4,34.4,9.56108598467262,672,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-03,28.220900537634407,73.05491742741935,116.5,116.5,7.4758795861290315,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-04,27.217708333333334,81.99670403194445,228.7,228.7,7.213109117,720,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-05,27.16962365591398,86.06878605107526,318.2,318.2,8.671190152392473,744,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
An Giang,89,,2022-06,27.325,85.25111927361111,230.4,230.4,7.598894754861111,720,open_meteo,D:\MONEY VERSE\datasets\weather\weather_all_vietnam.csv,2026-05-18T15:57:27.004962+00:00,Open-Meteo public API data; attribution required.
