destination_id,ten_diem_den,tinh_thanh,vung,forecast_granularity,forecast_horizon,forecast_demand_score,muc_canh_bao_du_bao,drivers,recommended_action,data_type,confidence_score,last_updated,method_note
ha_long,Ha Long,Quang Ninh,northeast,giờ,24 giờ,84.54,cam,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_long,Ha Long,Quang Ninh,northeast,ngày,7 ngày,85.08,đỏ,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_long,Ha Long,Quang Ninh,northeast,tuần,30 ngày,78.59,cam,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_long,Ha Long,Quang Ninh,northeast,tháng,3 tháng,73.05,cam,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cat_ba,Cat Ba,Hai Phong,northeast,giờ,24 giờ,78.48,cam,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cat_ba,Cat Ba,Hai Phong,northeast,ngày,7 ngày,66.96,vàng,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cat_ba,Cat Ba,Hai Phong,northeast,tuần,30 ngày,59.65,vàng,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cat_ba,Cat Ba,Hai Phong,northeast,tháng,3 tháng,57.65,vàng,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
quy_nhon,Quy Nhon,Binh Dinh,south_central_coast,giờ,24 giờ,66.49,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
quy_nhon,Quy Nhon,Binh Dinh,south_central_coast,ngày,7 ngày,65.1,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,2026-05-20T12:21:17+07:00,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
