diem_den,van_de,hanh_dong,doi_tuong_thuc_hien,chi_phi_trien_khai,loi_ich_ky_vong,logic_kinh_te,kpi_do_luong,muc_uu_tien,du_lieu_dung,do_tin_cay
Ha Long,quá tải/áp lực cao,"điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app",Cơ quan quản lý du lịch,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,"phân luồng, đặt biển báo, tăng lực lượng tại nút vào bãi biển/POI",Công an/giao thông địa phương,trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,"bán gói liên vùng, chuyển tour sang khung giờ thấp điểm",Doanh nghiệp du lịch,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,"chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket",Khu vui chơi,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,"combo lưu trú dài hơn, voucher ăn uống địa phương, không đẩy giá khi trải nghiệm giảm",Khách sạn,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,"voucher giờ thấp điểm, menu combo địa phương, điểm bán vệ tinh",Nhà hàng/OCOP,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Ha Long,quá tải/áp lực cao,tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế,Vận tải/shuttle,trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Cat Ba,quá tải/áp lực cao,"điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app",Cơ quan quản lý du lịch,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Cat Ba,quá tải/áp lực cao,"phân luồng, đặt biển báo, tăng lực lượng tại nút vào bãi biển/POI",Công an/giao thông địa phương,trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
Cat Ba,quá tải/áp lực cao,"bán gói liên vùng, chuyển tour sang khung giờ thấp điểm",Doanh nghiệp du lịch,thấp-trung bình,"Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Chuyển một phần cầu khỏi điểm nóng, tăng chi tiêu ở điểm phụ và giảm tổn thất do kẹt xe/quá tải.",điểm áp lực; điểm điều phối; doanh thu ăn uống/vé/lưu trú; phản hồi du khách,cam,mixed_proxy_near_real_time,76.5
